************************************************************************************************************************************************

2020-08-16 23:19:40
Starting photon ID training BDT

inFilePath	=	/hdfs/cms/user/wadud/anTGC/BDTdata/mergedSamplesShuffled.root
saveDir		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p02MaxD20/
inTreeName	=	fullEB_Tree
chunksize	=	2000000
logFile		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p02MaxD20//trainWithTune_2020_08_16_23_19_40.log

BDT input features (17) :
['phoE1x3OESCrFull5x5', 'phoE2ndOE3x3Full5x5', 'phoE2ndOESCrFull5x5', 'phoE2ndOEmaxFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOE3x3Full5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']



Training with params:
{'eval_metric': 'auc', 'sampling_method': 'uniform', 'alpha': 0.01, 'tree_method': 'exact', 'booster': 'gbtree', 'colsample_bytree': 0.5, 'verbosity': 1, 'nthread': -1, 'min_child_weight': 1.8, 'predictor': 'cpu_predictor', 'subsample': 0.5, 'eta': 0.02, 'objective': 'binary:logistic', 'max_depth': 20, 'gamma': 0.05}




Total data:
Total Events	=	2000000 (B/S= 1672280 / 327720 = 5.10)
BackgroundSumW/SignalSumW 	=	118920104.000000 / 962626.812500	=	123.537079
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	118959856.000000 / 962626.812500	=	123.578377

Training data:
Total Events	=	819550 (B/S= 684955 / 134595 = 5.09)
BackgroundSumW/SignalSumW 	=	48728768.000000 / 396644.968750	=	122.852356
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	48750264.000000 / 396644.968750	=	122.906548

Validation data:
Total Events	=	579872 (B/S= 485148 / 94724 = 5.12)
BackgroundSumW/SignalSumW 	=	34831516.000000 / 277818.906250	=	125.374893
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	34816180.000000 / 277818.906250	=	125.319695

Test data:
Total Events	=	600578 (B/S= 502177 / 98401 = 5.10)
BackgroundSumW/SignalSumW 	=	35359820.000000 / 288163.031250	=	122.707687
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	35393416.000000 / 288163.031250	=	122.824280


[0]	train-auc:0.996022	test-auc:0.993524	validation-auc:0.993247
[128]	train-auc:0.999899	test-auc:0.997551

Post-validation progress:

{
    "test": {
        "auc": [
            0.993359, 
            0.993952, 
            0.99491, 
            0.995509, 
            0.995839, 
            0.996177, 
            0.99615, 
            0.996143, 
            0.996227, 
            0.996109, 
            0.996148, 
            0.996144, 
            0.996383, 
            0.996406, 
            0.996395, 
            0.996306, 
            0.996348, 
            0.996371, 
            0.996427, 
            0.996336, 
            0.996303, 
            0.99635, 
            0.996445, 
            0.996536, 
            0.996503, 
            0.996545, 
            0.996537, 
            0.996463, 
            0.996537, 
            0.99654, 
            0.996617, 
            0.99674, 
            0.996661, 
            0.996628, 
            0.996689, 
            0.996833, 
            0.996844, 
            0.996857, 
            0.996859, 
            0.996911, 
            0.997005, 
            0.997006, 
            0.996926, 
            0.997009, 
            0.997096, 
            0.997157, 
            0.997147, 
            0.997175, 
            0.997173, 
            0.997173, 
            0.997228, 
            0.997212, 
            0.997215, 
            0.997209, 
            0.997211, 
            0.997207, 
            0.997212, 
            0.99722, 
            0.997226, 
            0.997232, 
            0.997227, 
            0.997226, 
            0.997232, 
            0.997239, 
            0.997237, 
            0.997228, 
            0.997245, 
            0.99724, 
            0.997251, 
            0.997248, 
            0.997286, 
            0.997291, 
            0.997286, 
            0.997289, 
            0.997295, 
            0.997299, 
            0.997301, 
            0.997301, 
            0.997299, 
            0.99732, 
            0.997337, 
            0.997331, 
            0.997349, 
            0.997353, 
            0.99735, 
            0.997346, 
            0.997351, 
            0.997371, 
            0.997363, 
            0.997353, 
            0.997371, 
            0.997376, 
            0.997382, 
            0.997381, 
            0.997373, 
            0.997375, 
            0.997378, 
            0.997403, 
            0.997416, 
            0.997431, 
            0.997453, 
            0.997454, 
            0.997446, 
            0.997455, 
            0.997459, 
            0.997456, 
            0.997454, 
            0.997446, 
            0.997445, 
            0.997464, 
            0.997465, 
            0.997472, 
            0.997475, 
            0.997475, 
            0.997481, 
            0.997485, 
            0.997486, 
            0.997479, 
            0.997485, 
            0.997486, 
            0.997487, 
            0.997503, 
            0.997517, 
            0.997532, 
            0.997539, 
            0.997535, 
            0.997533, 
            0.997548, 
            0.997551
        ]
    }, 
    "train": {
        "auc": [
            0.996436, 
            0.997435, 
            0.998349, 
            0.998723, 
            0.998822, 
            0.998801, 
            0.998881, 
            0.998953, 
            0.999069, 
            0.999115, 
            0.999103, 
            0.999124, 
            0.999218, 
            0.999232, 
            0.999264, 
            0.999293, 
            0.999311, 
            0.999325, 
            0.999369, 
            0.999381, 
            0.999376, 
            0.999376, 
            0.999411, 
            0.999422, 
            0.999419, 
            0.999415, 
            0.999427, 
            0.999433, 
            0.99948, 
            0.999495, 
            0.999521, 
            0.999539, 
            0.999536, 
            0.999534, 
            0.999558, 
            0.999574, 
            0.999582, 
            0.999579, 
            0.999583, 
            0.999601, 
            0.999609, 
            0.999613, 
            0.999629, 
            0.999643, 
            0.999645, 
            0.999646, 
            0.999646, 
            0.999654, 
            0.999658, 
            0.999665, 
            0.999684, 
            0.999682, 
            0.999691, 
            0.9997, 
            0.9997, 
            0.999704, 
            0.999708, 
            0.999713, 
            0.999714, 
            0.999717, 
            0.99972, 
            0.999724, 
            0.99973, 
            0.999737, 
            0.999739, 
            0.999742, 
            0.999747, 
            0.999747, 
            0.999749, 
            0.999757, 
            0.999765, 
            0.999769, 
            0.999772, 
            0.999775, 
            0.999777, 
            0.999779, 
            0.999783, 
            0.999784, 
            0.999786, 
            0.99979, 
            0.999793, 
            0.999795, 
            0.9998, 
            0.999802, 
            0.999804, 
            0.999805, 
            0.999807, 
            0.999837, 
            0.999837, 
            0.999838, 
            0.999842, 
            0.999844, 
            0.999848, 
            0.999848, 
            0.999846, 
            0.999848, 
            0.999851, 
            0.999854, 
            0.999856, 
            0.999859, 
            0.999862, 
            0.999864, 
            0.999865, 
            0.999867, 
            0.999869, 
            0.999869, 
            0.999873, 
            0.999873, 
            0.999874, 
            0.999877, 
            0.999877, 
            0.999878, 
            0.99988, 
            0.999881, 
            0.999882, 
            0.999883, 
            0.999884, 
            0.999884, 
            0.999885, 
            0.999886, 
            0.999887, 
            0.999888, 
            0.99989, 
            0.999896, 
            0.999897, 
            0.999897, 
            0.999898, 
            0.999899, 
            0.999899
        ]
    }
}



Chunk 0 processed!


Total data:
Total Events	=	2000000 (B/S= 1672548 / 327452 = 5.11)
BackgroundSumW/SignalSumW 	=	119768024.000000 / 952336.875000	=	125.762245
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	119753632.000000 / 952336.875000	=	125.747131

Training data:
Total Events	=	820556 (B/S= 686069 / 134487 = 5.10)
BackgroundSumW/SignalSumW 	=	49401132.000000 / 391636.093750	=	126.140396
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	49373160.000000 / 391636.093750	=	126.068970

Validation data:
Total Events	=	579881 (B/S= 484905 / 94976 = 5.11)
BackgroundSumW/SignalSumW 	=	34338536.000000 / 274380.843750	=	125.149178
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	34320340.000000 / 274380.843750	=	125.082855

Test data:
Total Events	=	599563 (B/S= 501574 / 97989 = 5.12)
BackgroundSumW/SignalSumW 	=	36028376.000000 / 286319.937500	=	125.832581
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	36060152.000000 / 286319.937500	=	125.943558


[0]	train-auc:0.997736	test-auc:0.997272	validation-auc:0.997493
Multiple eval metrics have been passed: 'validation-auc' will be used for early stopping.

Will train until validation-auc hasn't improved in 10 rounds.
[1]	train-auc:0.997847	test-auc:0.997279	validation-auc:0.99749
[2]	train-auc:0.997942	test-auc:0.997305	validation-auc:0.997498
[3]	train-auc:0.997994	test-auc:0.997304	validation-auc:0.997496
[4]	train-auc:0.998068	test-auc:0.997302	validation-auc:0.997491
[5]	train-auc:0.998123	test-auc:0.997305	validation-auc:0.997493
[6]	train-auc:0.998169	test-auc:0.997304	validation-auc:0.99749
[7]	train-auc:0.99823	test-auc:0.997305	validation-auc:0.997487
[8]	train-auc:0.998308	test-auc:0.997318	validation-auc:0.997499
[9]	train-auc:0.998371	test-auc:0.997331	validation-auc:0.997517
[10]	train-auc:0.998437	test-auc:0.997347	validation-auc:0.997535
[11]	train-auc:0.998482	test-auc:0.997347	validation-auc:0.997532
[12]	train-auc:0.998534	test-auc:0.997347	validation-auc:0.99753
[13]	train-auc:0.998571	test-auc:0.997338	validation-auc:0.99753
[14]	train-auc:0.99863	test-auc:0.997351	validation-auc:0.997547
[15]	train-auc:0.998671	test-auc:0.997349	validation-auc:0.99755
[16]	train-auc:0.998714	test-auc:0.997356	validation-auc:0.997547
[17]	train-auc:0.99875	test-auc:0.997352	validation-auc:0.997543
[18]	train-auc:0.998786	test-auc:0.997347	validation-auc:0.99754
[19]	train-auc:0.998815	test-auc:0.997339	validation-auc:0.997528
[20]	train-auc:0.998857	test-auc:0.997354	validation-auc:0.997536
[21]	train-auc:0.998881	test-auc:0.997348	validation-auc:0.99754
[22]	train-auc:0.998917	test-auc:0.997355	validation-auc:0.997553
[23]	train-auc:0.998936	test-auc:0.997356	validation-auc:0.99755
[24]	train-auc:0.998962	test-auc:0.997356	validation-auc:0.99755
[25]	train-auc:0.99899	test-auc:0.997356	validation-auc:0.997559
[26]	train-auc:0.999023	test-auc:0.997363	validation-auc:0.997555
[27]	train-auc:0.999047	test-auc:0.99736	validation-auc:0.997553
[28]	train-auc:0.999078	test-auc:0.997359	validation-auc:0.99756
[29]	train-auc:0.999098	test-auc:0.997361	validation-auc:0.997558
[30]	train-auc:0.999124	test-auc:0.997361	validation-auc:0.997559
[31]	train-auc:0.999148	test-auc:0.99736	validation-auc:0.997557
[32]	train-auc:0.99917	test-auc:0.997351	validation-auc:0.997561
[33]	train-auc:0.999199	test-auc:0.99736	validation-auc:0.997567
[34]	train-auc:0.999223	test-auc:0.997362	validation-auc:0.997561
[35]	train-auc:0.999247	test-auc:0.997371	validation-auc:0.997572
[36]	train-auc:0.99927	test-auc:0.997373	validation-auc:0.997572
[37]	train-auc:0.999289	test-auc:0.997372	validation-auc:0.997574
[38]	train-auc:0.999308	test-auc:0.997367	validation-auc:0.997572
[39]	train-auc:0.999325	test-auc:0.99737	validation-auc:0.99757
[40]	train-auc:0.999348	test-auc:0.99738	validation-auc:0.997578
[41]	train-auc:0.999371	test-auc:0.997382	validation-auc:0.997576
[42]	train-auc:0.999393	test-auc:0.99738	validation-auc:0.997576
[43]	train-auc:0.999407	test-auc:0.997383	validation-auc:0.997576
[44]	train-auc:0.999427	test-auc:0.997389	validation-auc:0.997587
[45]	train-auc:0.999444	test-auc:0.997321	validation-auc:0.997583
[46]	train-auc:0.999461	test-auc:0.99732	validation-auc:0.997582
[47]	train-auc:0.99948	test-auc:0.997322	validation-auc:0.997588
[48]	train-auc:0.999496	test-auc:0.997322	validation-auc:0.997589
[49]	train-auc:0.999517	test-auc:0.997326	validation-auc:0.997597
[50]	train-auc:0.999529	test-auc:0.997325	validation-auc:0.997583
[51]	train-auc:0.999546	test-auc:0.997325	validation-auc:0.997582
[52]	train-auc:0.999562	test-auc:0.997333	validation-auc:0.997591
[53]	train-auc:0.999577	test-auc:0.997344	validation-auc:0.997596
[54]	train-auc:0.99959	test-auc:0.997343	validation-auc:0.997596
[55]	train-auc:0.999602	test-auc:0.997345	validation-auc:0.9976
[56]	train-auc:0.999614	test-auc:0.997345	validation-auc:0.9976
[57]	train-auc:0.99963	test-auc:0.997354	validation-auc:0.997609
[58]	train-auc:0.999642	test-auc:0.99735	validation-auc:0.997606
[59]	train-auc:0.999652	test-auc:0.997344	validation-auc:0.9976
[60]	train-auc:0.999662	test-auc:0.99735	validation-auc:0.997622
[61]	train-auc:0.999676	test-auc:0.997358	validation-auc:0.997628
[62]	train-auc:0.999684	test-auc:0.997361	validation-auc:0.997628
[63]	train-auc:0.999696	test-auc:0.997361	validation-auc:0.997632
[64]	train-auc:0.999707	test-auc:0.997364	validation-auc:0.997631
[65]	train-auc:0.999718	test-auc:0.997367	validation-auc:0.997628
[66]	train-auc:0.999729	test-auc:0.997367	validation-auc:0.997632
[67]	train-auc:0.99974	test-auc:0.997368	validation-auc:0.997635
[68]	train-auc:0.99975	test-auc:0.997364	validation-auc:0.997632
[69]	train-auc:0.999763	test-auc:0.997366	validation-auc:0.997635
[70]	train-auc:0.999769	test-auc:0.997368	validation-auc:0.997635
[71]	train-auc:0.999778	test-auc:0.997371	validation-auc:0.997634
[72]	train-auc:0.999786	test-auc:0.997376	validation-auc:0.997637
[73]	train-auc:0.999794	test-auc:0.997377	validation-auc:0.997637
[74]	train-auc:0.9998	test-auc:0.997378	validation-auc:0.997642
[75]	train-auc:0.999807	test-auc:0.997379	validation-auc:0.997637
[76]	train-auc:0.999815	test-auc:0.99738	validation-auc:0.997635
[77]	train-auc:0.999822	test-auc:0.99738	validation-auc:0.997635
[78]	train-auc:0.999828	test-auc:0.997381	validation-auc:0.997638
[79]	train-auc:0.999837	test-auc:0.997387	validation-auc:0.997638
[80]	train-auc:0.999844	test-auc:0.997384	validation-auc:0.99764
[81]	train-auc:0.999851	test-auc:0.997387	validation-auc:0.997643
[82]	train-auc:0.999857	test-auc:0.997388	validation-auc:0.99764
[83]	train-auc:0.999861	test-auc:0.997386	validation-auc:0.99764
[84]	train-auc:0.999867	test-auc:0.997384	validation-auc:0.99764
[85]	train-auc:0.999874	test-auc:0.99739	validation-auc:0.997645
[86]	train-auc:0.999878	test-auc:0.99739	validation-auc:0.997643
[87]	train-auc:0.999884	test-auc:0.997399	validation-auc:0.997649
[88]	train-auc:0.999888	test-auc:0.9974	validation-auc:0.997646
[89]	train-auc:0.999893	test-auc:0.997397	validation-auc:0.997644
[90]	train-auc:0.999898	test-auc:0.997397	validation-auc:0.997644
[91]	train-auc:0.999901	test-auc:0.997395	validation-auc:0.997643
[92]	train-auc:0.999905	test-auc:0.997397	validation-auc:0.99764
[93]	train-auc:0.99991	test-auc:0.997402	validation-auc:0.997649
[94]	train-auc:0.999912	test-auc:0.9974	validation-auc:0.997648
[95]	train-auc:0.999915	test-auc:0.9974	validation-auc:0.997648
[96]	train-auc:0.999918	test-auc:0.997399	validation-auc:0.997647
[97]	train-auc:0.999921	test-auc:0.997403	validation-auc:0.997651
[98]	train-auc:0.999924	test-auc:0.997398	validation-auc:0.99765
[99]	train-auc:0.999927	test-auc:0.997399	validation-auc:0.997649
[100]	train-auc:0.999929	test-auc:0.997398	validation-auc:0.997649
[101]	train-auc:0.999931	test-auc:0.997394	validation-auc:0.997647
[102]	train-auc:0.999933	test-auc:0.997396	validation-auc:0.997645
[103]	train-auc:0.999935	test-auc:0.997395	validation-auc:0.997646
[104]	train-auc:0.999937	test-auc:0.997397	validation-auc:0.997645
[105]	train-auc:0.99994	test-auc:0.997395	validation-auc:0.997644
[106]	train-auc:0.999942	test-auc:0.997393	validation-auc:0.99764
[107]	train-auc:0.999944	test-auc:0.997391	validation-auc:0.997636
Stopping. Best iteration:
[97]	train-auc:0.999921	test-auc:0.997403	validation-auc:0.997651


Validation progress:

{
    "test": {
        "auc": [
            0.997272, 
            0.997279, 
            0.997305, 
            0.997304, 
            0.997302, 
            0.997305, 
            0.997304, 
            0.997305, 
            0.997318, 
            0.997331, 
            0.997347, 
            0.997347, 
            0.997347, 
            0.997338, 
            0.997351, 
            0.997349, 
            0.997356, 
            0.997352, 
            0.997347, 
            0.997339, 
            0.997354, 
            0.997348, 
            0.997355, 
            0.997356, 
            0.997356, 
            0.997356, 
            0.997363, 
            0.99736, 
            0.997359, 
            0.997361, 
            0.997361, 
            0.99736, 
            0.997351, 
            0.99736, 
            0.997362, 
            0.997371, 
            0.997373, 
            0.997372, 
            0.997367, 
            0.99737, 
            0.99738, 
            0.997382, 
            0.99738, 
            0.997383, 
            0.997389, 
            0.997321, 
            0.99732, 
            0.997322, 
            0.997322, 
            0.997326, 
            0.997325, 
            0.997325, 
            0.997333, 
            0.997344, 
            0.997343, 
            0.997345, 
            0.997345, 
            0.997354, 
            0.99735, 
            0.997344, 
            0.99735, 
            0.997358, 
            0.997361, 
            0.997361, 
            0.997364, 
            0.997367, 
            0.997367, 
            0.997368, 
            0.997364, 
            0.997366, 
            0.997368, 
            0.997371, 
            0.997376, 
            0.997377, 
            0.997378, 
            0.997379, 
            0.99738, 
            0.99738, 
            0.997381, 
            0.997387, 
            0.997384, 
            0.997387, 
            0.997388, 
            0.997386, 
            0.997384, 
            0.99739, 
            0.99739, 
            0.997399, 
            0.9974, 
            0.997397, 
            0.997397, 
            0.997395, 
            0.997397, 
            0.997402, 
            0.9974, 
            0.9974, 
            0.997399, 
            0.997403, 
            0.997398, 
            0.997399, 
            0.997398, 
            0.997394, 
            0.997396, 
            0.997395, 
            0.997397, 
            0.997395, 
            0.997393
        ]
    }, 
    "train": {
        "auc": [
            0.997736, 
            0.997847, 
            0.997942, 
            0.997994, 
            0.998068, 
            0.998123, 
            0.998169, 
            0.99823, 
            0.998308, 
            0.998371, 
            0.998437, 
            0.998482, 
            0.998534, 
            0.998571, 
            0.99863, 
            0.998671, 
            0.998714, 
            0.99875, 
            0.998786, 
            0.998815, 
            0.998857, 
            0.998881, 
            0.998917, 
            0.998936, 
            0.998962, 
            0.99899, 
            0.999023, 
            0.999047, 
            0.999078, 
            0.999098, 
            0.999124, 
            0.999148, 
            0.99917, 
            0.999199, 
            0.999223, 
            0.999247, 
            0.99927, 
            0.999289, 
            0.999308, 
            0.999325, 
            0.999348, 
            0.999371, 
            0.999393, 
            0.999407, 
            0.999427, 
            0.999444, 
            0.999461, 
            0.99948, 
            0.999496, 
            0.999517, 
            0.999529, 
            0.999546, 
            0.999562, 
            0.999577, 
            0.99959, 
            0.999602, 
            0.999614, 
            0.99963, 
            0.999642, 
            0.999652, 
            0.999662, 
            0.999676, 
            0.999684, 
            0.999696, 
            0.999707, 
            0.999718, 
            0.999729, 
            0.99974, 
            0.99975, 
            0.999763, 
            0.999769, 
            0.999778, 
            0.999786, 
            0.999794, 
            0.9998, 
            0.999807, 
            0.999815, 
            0.999822, 
            0.999828, 
            0.999837, 
            0.999844, 
            0.999851, 
            0.999857, 
            0.999861, 
            0.999867, 
            0.999874, 
            0.999878, 
            0.999884, 
            0.999888, 
            0.999893, 
            0.999898, 
            0.999901, 
            0.999905, 
            0.99991, 
            0.999912, 
            0.999915, 
            0.999918, 
            0.999921, 
            0.999924, 
            0.999927, 
            0.999929, 
            0.999931, 
            0.999933, 
            0.999935, 
            0.999937, 
            0.99994, 
            0.999942
        ]
    }, 
    "validation": {
        "auc": [
            0.997493, 
            0.99749, 
            0.997498, 
            0.997496, 
            0.997491, 
            0.997493, 
            0.99749, 
            0.997487, 
            0.997499, 
            0.997517, 
            0.997535, 
            0.997532, 
            0.99753, 
            0.99753, 
            0.997547, 
            0.99755, 
            0.997547, 
            0.997543, 
            0.99754, 
            0.997528, 
            0.997536, 
            0.99754, 
            0.997553, 
            0.99755, 
            0.99755, 
            0.997559, 
            0.997555, 
            0.997553, 
            0.99756, 
            0.997558, 
            0.997559, 
            0.997557, 
            0.997561, 
            0.997567, 
            0.997561, 
            0.997572, 
            0.997572, 
            0.997574, 
            0.997572, 
            0.99757, 
            0.997578, 
            0.997576, 
            0.997576, 
            0.997576, 
            0.997587, 
            0.997583, 
            0.997582, 
            0.997588, 
            0.997589, 
            0.997597, 
            0.997583, 
            0.997582, 
            0.997591, 
            0.997596, 
            0.997596, 
            0.9976, 
            0.9976, 
            0.997609, 
            0.997606, 
            0.9976, 
            0.997622, 
            0.997628, 
            0.997628, 
            0.997632, 
            0.997631, 
            0.997628, 
            0.997632, 
            0.997635, 
            0.997632, 
            0.997635, 
            0.997635, 
            0.997634, 
            0.997637, 
            0.997637, 
            0.997642, 
            0.997637, 
            0.997635, 
            0.997635, 
            0.997638, 
            0.997638, 
            0.99764, 
            0.997643, 
            0.99764, 
            0.99764, 
            0.99764, 
            0.997645, 
            0.997643, 
            0.997649, 
            0.997646, 
            0.997644, 
            0.997644, 
            0.997643, 
            0.99764, 
            0.997649, 
            0.997648, 
            0.997648, 
            0.997647, 
            0.997651, 
            0.99765, 
            0.997649, 
            0.997649, 
            0.997647, 
            0.997645, 
            0.997646, 
            0.997645, 
            0.997644, 
            0.99764
        ]
    }
}



[0]	train-auc:0.9976	test-auc:0.997282
[1]	train-auc:0.997723	test-auc:0.997305
[2]	train-auc:0.997836	test-auc:0.997302
[3]	train-auc:0.99791	test-auc:0.997303
[4]	train-auc:0.99796	test-auc:0.997293
[5]	train-auc:0.998011	test-auc:0.997282
[6]	train-auc:0.998082	test-auc:0.997284
[7]	train-auc:0.998143	test-auc:0.997289
[8]	train-auc:0.998187	test-auc:0.99729
[9]	train-auc:0.998265	test-auc:0.997308
[10]	train-auc:0.9983	test-auc:0.99731
[11]	train-auc:0.998364	test-auc:0.997323
[12]	train-auc:0.998436	test-auc:0.997343
[13]	train-auc:0.998461	test-auc:0.99734
[14]	train-auc:0.998494	test-auc:0.997331
[15]	train-auc:0.998553	test-auc:0.997345
[16]	train-auc:0.998585	test-auc:0.997339
[17]	train-auc:0.998623	test-auc:0.997335
[18]	train-auc:0.998656	test-auc:0.997332
[19]	train-auc:0.998688	test-auc:0.997333
[20]	train-auc:0.99872	test-auc:0.997332
[21]	train-auc:0.99876	test-auc:0.997328
[22]	train-auc:0.998793	test-auc:0.997327
[23]	train-auc:0.998821	test-auc:0.997322
[24]	train-auc:0.998859	test-auc:0.997329
[25]	train-auc:0.9989	test-auc:0.997338
[26]	train-auc:0.998939	test-auc:0.997346
[27]	train-auc:0.998966	test-auc:0.997352
[28]	train-auc:0.998992	test-auc:0.997351
[29]	train-auc:0.999026	test-auc:0.997359
[30]	train-auc:0.999055	test-auc:0.997358
[31]	train-auc:0.999089	test-auc:0.997365
[32]	train-auc:0.999114	test-auc:0.997367
[33]	train-auc:0.999138	test-auc:0.99736
[34]	train-auc:0.999165	test-auc:0.997378
[35]	train-auc:0.99919	test-auc:0.997378
[36]	train-auc:0.999222	test-auc:0.997386
[37]	train-auc:0.999245	test-auc:0.997393
[38]	train-auc:0.999266	test-auc:0.997403
[39]	train-auc:0.999285	test-auc:0.997405
[40]	train-auc:0.999299	test-auc:0.997402
[41]	train-auc:0.999317	test-auc:0.997402
[42]	train-auc:0.999331	test-auc:0.9974
[43]	train-auc:0.999353	test-auc:0.997401
[44]	train-auc:0.999373	test-auc:0.997405
[45]	train-auc:0.999395	test-auc:0.99741
[46]	train-auc:0.999409	test-auc:0.997409
[47]	train-auc:0.999438	test-auc:0.997408
[48]	train-auc:0.999452	test-auc:0.997398
[49]	train-auc:0.999472	test-auc:0.99741
[50]	train-auc:0.999487	test-auc:0.997412
[51]	train-auc:0.9995	test-auc:0.997408
[52]	train-auc:0.999515	test-auc:0.997412
[53]	train-auc:0.999529	test-auc:0.997414
[54]	train-auc:0.999542	test-auc:0.997416
[55]	train-auc:0.999555	test-auc:0.997419
[56]	train-auc:0.999572	test-auc:0.997432
[57]	train-auc:0.999585	test-auc:0.99743
[58]	train-auc:0.999598	test-auc:0.997427
[59]	train-auc:0.999614	test-auc:0.997426
[60]	train-auc:0.999624	test-auc:0.997424
[61]	train-auc:0.999635	test-auc:0.997425
[62]	train-auc:0.999651	test-auc:0.997438
[63]	train-auc:0.999663	test-auc:0.997442
[64]	train-auc:0.999675	test-auc:0.997444
[65]	train-auc:0.999684	test-auc:0.997441
[66]	train-auc:0.999697	test-auc:0.997446
[67]	train-auc:0.999707	test-auc:0.997442
[68]	train-auc:0.999716	test-auc:0.997442
[69]	train-auc:0.999726	test-auc:0.99744
[70]	train-auc:0.999735	test-auc:0.997438
[71]	train-auc:0.999742	test-auc:0.997439
[72]	train-auc:0.999751	test-auc:0.997436
[73]	train-auc:0.999761	test-auc:0.997447
[74]	train-auc:0.99977	test-auc:0.997448
[75]	train-auc:0.99978	test-auc:0.997454
[76]	train-auc:0.999787	test-auc:0.997452
[77]	train-auc:0.999794	test-auc:0.997449
[78]	train-auc:0.999799	test-auc:0.99745
[79]	train-auc:0.999806	test-auc:0.997451
[80]	train-auc:0.999813	test-auc:0.99745
[81]	train-auc:0.999819	test-auc:0.997449
[82]	train-auc:0.999825	test-auc:0.997451
[83]	train-auc:0.999831	test-auc:0.997456
[84]	train-auc:0.999836	test-auc:0.997458
[85]	train-auc:0.999842	test-auc:0.997458
[86]	train-auc:0.999848	test-auc:0.997455
[87]	train-auc:0.999853	test-auc:0.997455
[88]	train-auc:0.999857	test-auc:0.997462
[89]	train-auc:0.999862	test-auc:0.997463
[90]	train-auc:0.999866	test-auc:0.997461
[91]	train-auc:0.999872	test-auc:0.997475
[92]	train-auc:0.999876	test-auc:0.997477
[93]	train-auc:0.99988	test-auc:0.997478
[94]	train-auc:0.999884	test-auc:0.997483
[95]	train-auc:0.99989	test-auc:0.997487
[96]	train-auc:0.999894	test-auc:0.997484
[97]	train-auc:0.999897	test-auc:0.997485

Post-validation progress:

{
    "test": {
        "auc": [
            0.997282, 
            0.997305, 
            0.997302, 
            0.997303, 
            0.997293, 
            0.997282, 
            0.997284, 
            0.997289, 
            0.99729, 
            0.997308, 
            0.99731, 
            0.997323, 
            0.997343, 
            0.99734, 
            0.997331, 
            0.997345, 
            0.997339, 
            0.997335, 
            0.997332, 
            0.997333, 
            0.997332, 
            0.997328, 
            0.997327, 
            0.997322, 
            0.997329, 
            0.997338, 
            0.997346, 
            0.997352, 
            0.997351, 
            0.997359, 
            0.997358, 
            0.997365, 
            0.997367, 
            0.99736, 
            0.997378, 
            0.997378, 
            0.997386, 
            0.997393, 
            0.997403, 
            0.997405, 
            0.997402, 
            0.997402, 
            0.9974, 
            0.997401, 
            0.997405, 
            0.99741, 
            0.997409, 
            0.997408, 
            0.997398, 
            0.99741, 
            0.997412, 
            0.997408, 
            0.997412, 
            0.997414, 
            0.997416, 
            0.997419, 
            0.997432, 
            0.99743, 
            0.997427, 
            0.997426, 
            0.997424, 
            0.997425, 
            0.997438, 
            0.997442, 
            0.997444, 
            0.997441, 
            0.997446, 
            0.997442, 
            0.997442, 
            0.99744, 
            0.997438, 
            0.997439, 
            0.997436, 
            0.997447, 
            0.997448, 
            0.997454, 
            0.997452, 
            0.997449, 
            0.99745, 
            0.997451, 
            0.99745, 
            0.997449, 
            0.997451, 
            0.997456, 
            0.997458, 
            0.997458, 
            0.997455, 
            0.997455, 
            0.997462, 
            0.997463, 
            0.997461, 
            0.997475, 
            0.997477, 
            0.997478, 
            0.997483, 
            0.997487, 
            0.997484, 
            0.997485
        ]
    }, 
    "train": {
        "auc": [
            0.9976, 
            0.997723, 
            0.997836, 
            0.99791, 
            0.99796, 
            0.998011, 
            0.998082, 
            0.998143, 
            0.998187, 
            0.998265, 
            0.9983, 
            0.998364, 
            0.998436, 
            0.998461, 
            0.998494, 
            0.998553, 
            0.998585, 
            0.998623, 
            0.998656, 
            0.998688, 
            0.99872, 
            0.99876, 
            0.998793, 
            0.998821, 
            0.998859, 
            0.9989, 
            0.998939, 
            0.998966, 
            0.998992, 
            0.999026, 
            0.999055, 
            0.999089, 
            0.999114, 
            0.999138, 
            0.999165, 
            0.99919, 
            0.999222, 
            0.999245, 
            0.999266, 
