************************************************************************************************************************************************

2020-08-16 23:15:47
Starting photon ID training BDT

inFilePath	=	/hdfs/cms/user/wadud/anTGC/BDTdata/mergedSamplesShuffled.root
saveDir		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p1/
inTreeName	=	fullEB_Tree
chunksize	=	2000000
logFile		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p1//trainWithTune_2020_08_16_23_15_47.log

BDT input features (17) :
['phoE1x3OESCrFull5x5', 'phoE2ndOE3x3Full5x5', 'phoE2ndOESCrFull5x5', 'phoE2ndOEmaxFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOE3x3Full5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']



Training with params:
{'eval_metric': 'auc', 'sampling_method': 'uniform', 'alpha': 0.01, 'tree_method': 'exact', 'booster': 'gbtree', 'colsample_bytree': 0.5, 'verbosity': 1, 'nthread': -1, 'min_child_weight': 1.8, 'predictor': 'cpu_predictor', 'subsample': 0.5, 'eta': 0.1, 'objective': 'binary:logistic', 'max_depth': 22, 'gamma': 0.05}




Total data:
Total Events	=	2000000 (B/S= 1672280 / 327720 = 5.10)
BackgroundSumW/SignalSumW 	=	118920104.000000 / 962626.812500	=	123.537079
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	118959856.000000 / 962626.812500	=	123.578377

Training data:
Total Events	=	819550 (B/S= 684955 / 134595 = 5.09)
BackgroundSumW/SignalSumW 	=	48728768.000000 / 396644.968750	=	122.852356
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	48750264.000000 / 396644.968750	=	122.906548

Validation data:
Total Events	=	579872 (B/S= 485148 / 94724 = 5.12)
BackgroundSumW/SignalSumW 	=	34831516.000000 / 277818.906250	=	125.374893
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	34816180.000000 / 277818.906250	=	125.319695

Test data:
Total Events	=	600578 (B/S= 502177 / 98401 = 5.10)
BackgroundSumW/SignalSumW 	=	35359820.000000 / 288163.031250	=	122.707687
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	35393416.000000 / 288163.031250	=	122.824280


[0]	train-auc:0.996117	test-auc:0.993527	validation-auc:0.993337
[60]	train-auc:0.996475	test-auc:0.99016	validation-auc:0.990178
[61]	train-auc:0.996506	test-auc:0.99023	validation-auc:0.990305
[62]	train-auc:0.996524	test-auc:0.990239	validation-auc:0.990323
[63]	train-auc:0.996556	test-auc:0.990279	validation-auc:0.990378
[64]	train-auc:0.996579	test-auc:0.990299	validation-auc:0.990391
[65]	train-auc:0.996625	test-auc:0.99037	validation-auc:0.990477
[66]	train-auc:0.996651	test-auc:0.990375	validation-auc:0.990532
[67]	train-auc:0.9967	test-auc:0.990405	validation-auc:0.990607
[68]	train-auc:0.996766	test-auc:0.990468	validation-auc:0.990693
[69]	train-auc:0.996834	test-auc:0.990522	validation-auc:0.990884
[70]	train-auc:0.996841	test-auc:0.990526	validation-auc:0.990888
[71]	train-auc:0.996918	test-auc:0.990545	validation-auc:0.99098
[72]	train-auc:0.996942	test-auc:0.990552	validation-auc:0.990987
[73]	train-auc:0.99701	test-auc:0.990614	validation-auc:0.991031
[74]	train-auc:0.997034	test-auc:0.99066	validation-auc:0.9911
[75]	train-auc:0.997072	test-auc:0.990713	validation-auc:0.99113
[76]	train-auc:0.997115	test-auc:0.990734	validation-auc:0.991131
[77]	train-auc:0.997177	test-auc:0.990738	validation-auc:0.991147
[78]	train-auc:0.997231	test-auc:0.990754	validation-auc:0.991157
[79]	train-auc:0.997271	test-auc:0.990813	validation-auc:0.991174
[80]	train-auc:0.997304	test-auc:0.990807	validation-auc:0.9912
[81]	train-auc:0.997325	test-auc:0.990846	validation-auc:0.991208
[82]	train-auc:0.997343	test-auc:0.990847	validation-auc:0.991201
[83]	train-auc:0.997387	test-auc:0.99086	validation-auc:0.991208
[84]	train-auc:0.997424	test-auc:0.99084	validation-auc:0.991213
[85]	train-auc:0.997471	test-auc:0.990874	validation-auc:0.991227
[86]	train-auc:0.997501	test-auc:0.990885	validation-auc:0.99129
[87]	train-auc:0.99755	test-auc:0.990911	validation-auc:0.991322
[88]	train-auc:0.9976	test-auc:0.99096	validation-auc:0.991342
[89]	train-auc:0.997639	test-auc:0.990993	validation-auc:0.991359
[90]	train-auc:0.997696	test-auc:0.991011	validation-auc:0.991413
[91]	train-auc:0.99776	test-auc:0.991022	validation-auc:0.991501
[92]	train-auc:0.997778	test-auc:0.991037	validation-auc:0.991501
[93]	train-auc:0.997862	test-auc:0.991042	validation-auc:0.991567
[94]	train-auc:0.997894	test-auc:0.991073	validation-auc:0.991593
[95]	train-auc:0.997917	test-auc:0.991085	validation-auc:0.991622
[96]	train-auc:0.99793	test-auc:0.991093	validation-auc:0.9916
[97]	train-auc:0.997978	test-auc:0.991121	validation-auc:0.991613
[98]	train-auc:0.99801	test-auc:0.991138	validation-auc:0.99164
[99]	train-auc:0.998011	test-auc:0.991144	validation-auc:0.991668
[100]	train-auc:0.99805	test-auc:0.991164	validation-auc:0.991708
[101]	train-auc:0.998114	test-auc:0.991187	validation-auc:0.991694
[102]	train-auc:0.998161	test-auc:0.991187	validation-auc:0.991689
[103]	train-auc:0.998201	test-auc:0.991175	validation-auc:0.991698
[104]	train-auc:0.998227	test-auc:0.991175	validation-auc:0.991695
[105]	train-auc:0.998265	test-auc:0.9912	validation-auc:0.991701
[106]	train-auc:0.99829	test-auc:0.991204	validation-auc:0.991725
[107]	train-auc:0.998308	test-auc:0.99121	validation-auc:0.991734
[108]	train-auc:0.998321	test-auc:0.991214	validation-auc:0.991739
[109]	train-auc:0.998341	test-auc:0.991225	validation-auc:0.991746
[110]	train-auc:0.998379	test-auc:0.991245	validation-auc:0.991727
[111]	train-auc:0.99842	test-auc:0.991257	validation-auc:0.991771
[112]	train-auc:0.998456	test-auc:0.991278	validation-auc:0.991795
[113]	train-auc:0.998496	test-auc:0.991282	validation-auc:0.991815
[114]	train-auc:0.998513	test-auc:0.991292	validation-auc:0.991825
[115]	train-auc:0.998523	test-auc:0.991275	validation-auc:0.991859
[116]	train-auc:0.998547	test-auc:0.99128	validation-auc:0.991866
[117]	train-auc:0.998576	test-auc:0.991276	validation-auc:0.991877
[118]	train-auc:0.998597	test-auc:0.99127	validation-auc:0.991885
[119]	train-auc:0.998616	test-auc:0.991274	validation-auc:0.991872
[120]	train-auc:0.998629	test-auc:0.991271	validation-auc:0.991858
[121]	train-auc:0.99864	test-auc:0.991273	validation-auc:0.991863
[122]	train-auc:0.998662	test-auc:0.991281	validation-auc:0.991866
[123]	train-auc:0.998689	test-auc:0.991286	validation-auc:0.991871
[124]	train-auc:0.998723	test-auc:0.991282	validation-auc:0.991867
[125]	train-auc:0.998732	test-auc:0.991293	validation-auc:0.991867
[126]	train-auc:0.998747	test-auc:0.991293	validation-auc:0.991897
[127]	train-auc:0.998764	test-auc:0.991303	validation-auc:0.991902
[128]	train-auc:0.998773	test-auc:0.991298	validation-auc:0.991902
[129]	train-auc:0.998769	test-auc:0.991286	validation-auc:0.991895
[130]	train-auc:0.998779	test-auc:0.991296	validation-auc:0.991897
[131]	train-auc:0.998793	test-auc:0.99132	validation-auc:0.991908
[132]	train-auc:0.998813	test-auc:0.991335	validation-auc:0.99194
[133]	train-auc:0.998814	test-auc:0.991325	validation-auc:0.991946
[134]	train-auc:0.998837	test-auc:0.991325	validation-auc:0.991953
[135]	train-auc:0.998862	test-auc:0.99133	validation-auc:0.991958
[136]	train-auc:0.99887	test-auc:0.991352	validation-auc:0.991941
[137]	train-auc:0.998883	test-auc:0.991361	validation-auc:0.991944
[138]	train-auc:0.998885	test-auc:0.991432	validation-auc:0.99194
[139]	train-auc:0.998894	test-auc:0.991454	validation-auc:0.991932
[140]	train-auc:0.998902	test-auc:0.991463	validation-auc:0.991942
[141]	train-auc:0.998911	test-auc:0.991476	validation-auc:0.991949
[142]	train-auc:0.998919	test-auc:0.991468	validation-auc:0.99194
[143]	train-auc:0.99893	test-auc:0.991471	validation-auc:0.991943
[144]	train-auc:0.998949	test-auc:0.991478	validation-auc:0.991934
[145]	train-auc:0.998956	test-auc:0.991478	validation-auc:0.991931
Stopping. Best iteration:
[135]	train-auc:0.998862	test-auc:0.99133	validation-auc:0.991958


Validation progress:

{
    "test": {
        "auc": [
            0.986995, 
            0.986977, 
            0.986962, 
            0.986955, 
            0.986928, 
            0.98704, 
            0.987104, 
            0.987059, 
            0.987145, 
            0.987331, 
            0.987499, 
            0.987568, 
            0.987657, 
            0.987732, 
            0.987842, 
            0.987877, 
            0.987937, 
            0.98807, 
            0.988143, 
            0.988245, 
            0.988308, 
            0.988377, 
            0.988424, 
            0.988482, 
            0.988536, 
            0.988623, 
            0.988673, 
            0.988714, 
            0.98874, 
            0.988787, 
            0.98882, 
            0.98886, 
            0.988906, 
            0.988939, 
            0.988956, 
            0.988998, 
            0.989051, 
            0.989073, 
            0.989134, 
            0.989185, 
            0.989282, 
            0.989374, 
            0.989392, 
            0.989398, 
            0.989415, 
            0.989415, 
            0.989433, 
            0.989467, 
            0.989547, 
            0.989617, 
            0.989724, 
            0.989715, 
            0.989724, 
            0.98979, 
            0.989868, 
            0.989921, 
            0.989995, 
            0.990026, 
            0.99007, 
            0.990126, 
            0.99016, 
            0.99023, 
            0.990239, 
            0.990279, 
            0.990299, 
            0.99037, 
            0.990375, 
            0.990405, 
            0.990468, 
            0.990522, 
            0.990526, 
            0.990545, 
            0.990552, 
            0.990614, 
            0.99066, 
            0.990713, 
            0.990734, 
            0.990738, 
            0.990754, 
            0.990813, 
            0.990807, 
            0.990846, 
            0.990847, 
            0.99086, 
            0.99084, 
            0.990874, 
            0.990885, 
            0.990911, 
            0.99096, 
            0.990993, 
            0.991011, 
            0.991022, 
            0.991037, 
            0.991042, 
            0.991073, 
            0.991085, 
            0.991093, 
            0.991121, 
            0.991138, 
            0.991144, 
            0.991164, 
            0.991187, 
            0.991187, 
            0.991175, 
            0.991175, 
            0.9912, 
            0.991204, 
            0.99121, 
            0.991214, 
            0.991225, 
            0.991245, 
            0.991257, 
            0.991278, 
            0.991282, 
            0.991292, 
            0.991275, 
            0.99128, 
            0.991276, 
            0.99127, 
            0.991274, 
            0.991271, 
            0.991273, 
            0.991281, 
            0.991286, 
            0.991282, 
            0.991293, 
            0.991293, 
            0.991303, 
            0.991298, 
            0.991286, 
            0.991296, 
            0.99132, 
            0.991335, 
            0.991325, 
            0.991325, 
            0.99133, 
            0.991352, 
            0.991361, 
            0.991432, 
            0.991454, 
            0.991463, 
            0.991476, 
            0.991468, 
            0.991471, 
            0.991478
        ]
    }, 
    "train": {
        "auc": [
            0.989093, 
            0.989225, 
            0.989705, 
            0.990326, 
            0.990786, 
            0.991343, 
            0.991648, 
            0.991909, 
            0.992164, 
            0.992395, 
            0.992646, 
            0.992855, 
            0.993007, 
            0.993131, 
            0.993289, 
            0.993388, 
            0.993529, 
            0.993664, 
            0.993718, 
            0.993771, 
            0.993836, 
            0.993879, 
            0.993945, 
            0.994006, 
            0.994064, 
            0.994127, 
            0.994187, 
            0.994223, 
            0.994264, 
            0.994302, 
            0.99434, 
            0.994377, 
            0.994411, 
            0.994467, 
            0.994591, 
            0.994655, 
            0.994763, 
            0.994812, 
            0.994835, 
            0.994882, 
            0.994925, 
            0.994952, 
            0.995032, 
            0.995118, 
            0.995159, 
            0.99517, 
            0.995314, 
            0.995331, 
            0.9954, 
            0.995526, 
            0.995614, 
            0.995674, 
            0.995704, 
            0.995995, 
            0.996069, 
            0.996156, 
            0.996208, 
            0.996304, 
            0.996368, 
            0.996414, 
            0.996475, 
            0.996506, 
            0.996524, 
            0.996556, 
            0.996579, 
            0.996625, 
            0.996651, 
            0.9967, 
            0.996766, 
            0.996834, 
            0.996841, 
            0.996918, 
            0.996942, 
            0.99701, 
            0.997034, 
            0.997072, 
            0.997115, 
            0.997177, 
            0.997231, 
            0.997271, 
            0.997304, 
            0.997325, 
            0.997343, 
            0.997387, 
            0.997424, 
            0.997471, 
            0.997501, 
            0.99755, 
            0.9976, 
            0.997639, 
            0.997696, 
            0.99776, 
            0.997778, 
            0.997862, 
            0.997894, 
            0.997917, 
            0.99793, 
            0.997978, 
            0.99801, 
            0.998011, 
            0.99805, 
            0.998114, 
            0.998161, 
            0.998201, 
            0.998227, 
            0.998265, 
            0.99829, 
            0.998308, 
            0.998321, 
            0.998341, 
            0.998379, 
            0.99842, 
            0.998456, 
            0.998496, 
            0.998513, 
            0.998523, 
            0.998547, 
            0.998576, 
            0.998597, 
            0.998616, 
            0.998629, 
            0.99864, 
            0.998662, 
            0.998689, 
            0.998723, 
            0.998732, 
            0.998747, 
            0.998764, 
            0.998773, 
            0.998769, 
            0.998779, 
            0.998793, 
            0.998813, 
            0.998814, 
            0.998837, 
            0.998862, 
            0.99887, 
            0.998883, 
            0.998885, 
            0.998894, 
            0.998902, 
            0.998911, 
            0.998919, 
            0.99893, 
            0.998949
        ]
    }, 
    "validation": {
        "auc": [
            0.986728, 
            0.9876, 
            0.987587, 
            0.987484, 
            0.9876, 
            0.987653, 
            0.987642, 
            0.987638, 
            0.98767, 
            0.987836, 
            0.987836, 
            0.987877, 
            0.98792, 
            0.988014, 
            0.98805, 
            0.988128, 
            0.988213, 
            0.988357, 
            0.988391, 
            0.988477, 
            0.988534, 
            0.988573, 
            0.988621, 
            0.988681, 
            0.988733, 
            0.988804, 
            0.988876, 
            0.988921, 
            0.988995, 
            0.989008, 
            0.989059, 
            0.989086, 
            0.989129, 
            0.989131, 
            0.989195, 
            0.989202, 
            0.989299, 
            0.98938, 
            0.989406, 
            0.989476, 
            0.9895, 
            0.989575, 
            0.989598, 
            0.989648, 
            0.989667, 
            0.989694, 
            0.989704, 
            0.98974, 
            0.989817, 
            0.989837, 
            0.989898, 
            0.989916, 
            0.989939, 
            0.989937, 
            0.990026, 
            0.990058, 
            0.990087, 
            0.990099, 
            0.990112, 
            0.990128, 
            0.990178, 
            0.990305, 
            0.990323, 
            0.990378, 
            0.990391, 
            0.990477, 
            0.990532, 
            0.990607, 
            0.990693, 
            0.990884, 
            0.990888, 
            0.99098, 
            0.990987, 
            0.991031, 
            0.9911, 
            0.99113, 
            0.991131, 
            0.991147, 
            0.991157, 
            0.991174, 
            0.9912, 
            0.991208, 
            0.991201, 
            0.991208, 
            0.991213, 
            0.991227, 
            0.99129, 
            0.991322, 
            0.991342, 
            0.991359, 
            0.991413, 
            0.991501, 
            0.991501, 
            0.991567, 
            0.991593, 
            0.991622, 
            0.9916, 
            0.991613, 
            0.99164, 
            0.991668, 
            0.991708, 
            0.991694, 
            0.991689, 
            0.991698, 
            0.991695, 
            0.991701, 
            0.991725, 
            0.991734, 
            0.991739, 
            0.991746, 
            0.991727, 
            0.991771, 
            0.991795, 
            0.991815, 
            0.991825, 
            0.991859, 
            0.991866, 
            0.991877, 
            0.991885, 
            0.991872, 
            0.991858, 
            0.991863, 
            0.991866, 
            0.991871, 
            0.991867, 
            0.991867, 
            0.991897, 
            0.991902, 
            0.991902, 
            0.991895, 
            0.991897, 
            0.991908, 
            0.99194, 
            0.991946, 
            0.991953, 
            0.991958, 
            0.991941, 
            0.991944, 
            0.99194, 
            0.991932, 
            0.991942, 
            0.991949, 
            0.99194, 
            0.991943, 
            0.991934
        ]
    }
}



[0]	train-auc:0.987457	test-auc:0.984495
[1]	train-auc:0.988255	test-auc:0.984584
[2]	train-auc:0.989167	test-auc:0.985286
[3]	train-auc:0.989604	test-auc:0.985368
[4]	train-auc:0.989903	test-auc:0.985482
[5]	train-auc:0.990222	test-auc:0.985636
[6]	train-auc:0.990457	test-auc:0.985693
[7]	train-auc:0.990668	test-auc:0.985786
[8]	train-auc:0.990856	test-auc:0.985781
[9]	train-auc:0.991019	test-auc:0.985813
[10]	train-auc:0.991206	test-auc:0.985896
[11]	train-auc:0.991327	test-auc:0.985922
[12]	train-auc:0.991545	test-auc:0.98606
[13]	train-auc:0.991655	test-auc:0.986143
[14]	train-auc:0.991752	test-auc:0.986212
[15]	train-auc:0.99194	test-auc:0.986282
[16]	train-auc:0.992049	test-auc:0.986301
[17]	train-auc:0.991828	test-auc:0.985886
[18]	train-auc:0.991906	test-auc:0.985956
[19]	train-auc:0.99201	test-auc:0.98603
[20]	train-auc:0.99219	test-auc:0.98616
[21]	train-auc:0.992328	test-auc:0.986249
[22]	train-auc:0.992484	test-auc:0.986343
[23]	train-auc:0.992629	test-auc:0.986417
[24]	train-auc:0.992754	test-auc:0.986526
[25]	train-auc:0.992854	test-auc:0.986628
[26]	train-auc:0.993066	test-auc:0.986681
[27]	train-auc:0.993143	test-auc:0.986769
[28]	train-auc:0.993279	test-auc:0.987032
[29]	train-auc:0.993384	test-auc:0.987105
[30]	train-auc:0.993471	test-auc:0.987216
[31]	train-auc:0.993561	test-auc:0.98731
[32]	train-auc:0.993663	test-auc:0.987375
[33]	train-auc:0.993749	test-auc:0.987403
[34]	train-auc:0.993846	test-auc:0.987484
[35]	train-auc:0.993923	test-auc:0.987549
[36]	train-auc:0.994021	test-auc:0.987597
[37]	train-auc:0.994117	test-auc:0.987663
[38]	train-auc:0.99421	test-auc:0.98776
[39]	train-auc:0.994308	test-auc:0.987789
[40]	train-auc:0.994556	test-auc:0.987956
[41]	train-auc:0.994627	test-auc:0.988041
[42]	train-auc:0.994689	test-auc:0.988165
[43]	train-auc:0.994756	test-auc:0.988175
[44]	train-auc:0.994808	test-auc:0.988238
[45]	train-auc:0.994862	test-auc:0.988382
[46]	train-auc:0.994988	test-auc:0.988462
[47]	train-auc:0.995068	test-auc:0.988526
[48]	train-auc:0.995128	test-auc:0.988556
[49]	train-auc:0.995166	test-auc:0.988624
[50]	train-auc:0.995262	test-auc:0.988714
[51]	train-auc:0.995376	test-auc:0.988754
[52]	train-auc:0.995473	test-auc:0.988791
[53]	train-auc:0.99556	test-auc:0.988818
[54]	train-auc:0.995639	test-auc:0.988817
[55]	train-auc:0.995672	test-auc:0.988845
[56]	train-auc:0.995719	test-auc:0.988856
[57]	train-auc:0.995756	test-auc:0.988854
[58]	train-auc:0.995799	test-auc:0.988911
[59]	train-auc:0.995845	test-auc:0.98897
[60]	train-auc:0.995894	test-auc:0.988984
[61]	train-auc:0.995919	test-auc:0.988974
[62]	train-auc:0.995967	test-auc:0.989006
[63]	train-auc:0.996022	test-auc:0.989003
[64]	train-auc:0.996092	test-auc:0.989093
[65]	train-auc:0.996168	test-auc:0.989095
[66]	train-auc:0.996233	test-auc:0.989164
[67]	train-auc:0.99626	test-auc:0.989179
[68]	train-auc:0.996298	test-auc:0.98922
[69]	train-auc:0.996395	test-auc:0.989242
[70]	train-auc:0.996434	test-auc:0.989234
[71]	train-auc:0.996474	test-auc:0.989248
[72]	train-auc:0.996524	test-auc:0.989246
[73]	train-auc:0.996596	test-auc:0.98925
[74]	train-auc:0.996633	test-auc:0.989322
[75]	train-auc:0.99669	test-auc:0.989329
[76]	train-auc:0.996726	test-auc:0.98937
[77]	train-auc:0.996797	test-auc:0.989399
[78]	train-auc:0.996829	test-auc:0.989431
[79]	train-auc:0.996881	test-auc:0.989478
[80]	train-auc:0.996994	test-auc:0.98947
[81]	train-auc:0.997018	test-auc:0.989482
[82]	train-auc:0.997048	test-auc:0.989509
[83]	train-auc:0.997096	test-auc:0.989567
[84]	train-auc:0.997133	test-auc:0.98959
[85]	train-auc:0.997187	test-auc:0.989606
[86]	train-auc:0.997219	test-auc:0.989613
[87]	train-auc:0.997271	test-auc:0.989653
[88]	train-auc:0.997318	test-auc:0.989657
[89]	train-auc:0.997349	test-auc:0.989707
[90]	train-auc:0.997383	test-auc:0.989727
[91]	train-auc:0.997382	test-auc:0.989725
[92]	train-auc:0.9974	test-auc:0.989745
[93]	train-auc:0.997424	test-auc:0.989762
[94]	train-auc:0.997436	test-auc:0.989792
[95]	train-auc:0.99746	test-auc:0.989824
[96]	train-auc:0.997478	test-auc:0.989854
[97]	train-auc:0.997509	test-auc:0.989862
[98]	train-auc:0.997523	test-auc:0.989881
[99]	train-auc:0.99757	test-auc:0.989933
[100]	train-auc:0.997584	test-auc:0.989933
[101]	train-auc:0.997622	test-auc:0.989936
[102]	train-auc:0.997648	test-auc:0.98995
[103]	train-auc:0.997696	test-auc:0.989985
[104]	train-auc:0.997737	test-auc:0.989996
[105]	train-auc:0.997772	test-auc:0.990003
[106]	train-auc:0.997779	test-auc:0.989995
[107]	train-auc:0.997793	test-auc:0.989979
[108]	train-auc:0.997845	test-auc:0.990008
[109]	train-auc:0.997879	test-auc:0.990017
[110]	train-auc:0.997911	test-auc:0.990008
[111]	train-auc:0.997919	test-auc:0.990002
[112]	train-auc:0.997967	test-auc:0.990013
[113]	train-auc:0.997978	test-auc:0.989993
[114]	train-auc:0.997998	test-auc:0.989986
[115]	train-auc:0.998039	test-auc:0.989999
[116]	train-auc:0.998071	test-auc:0.990033
[117]	train-auc:0.998102	test-auc:0.99004
[118]	train-auc:0.998134	test-auc:0.990058
[119]	train-auc:0.998195	test-auc:0.990121
[120]	train-auc:0.998207	test-auc:0.990137
[121]	train-auc:0.998215	test-auc:0.99014
[122]	train-auc:0.99822	test-auc:0.990145
[123]	train-auc:0.99825	test-auc:0.990147
[124]	train-auc:0.998292	test-auc:0.990153
[125]	train-auc:0.998329	test-auc:0.990197
[126]	train-auc:0.998339	test-auc:0.990177
[127]	train-auc:0.998377	test-auc:0.990188
[128]	train-auc:0.998409	test-auc:0.990179
[129]	train-auc:0.998415	test-auc:0.990171
[130]	train-auc:0.998439	test-auc:0.990166
[131]	train-auc:0.998441	test-auc:0.990163
[132]	train-auc:0.998491	test-auc:0.99017
[133]	train-auc:0.998516	test-auc:0.990159
[134]	train-auc:0.998546	test-auc:0.990163
[135]	train-auc:0.998583	test-auc:0.990157

Post-validation progress:

{
    "test": {
        "auc": [
            0.984495, 
            0.984584, 
            0.985286, 
            0.985368, 
            0.985482, 
            0.985636, 
            0.985693, 
            0.985786, 
            0.985781, 
            0.985813, 
            0.985896, 
            0.985922, 
            0.98606, 
            0.986143, 
            0.986212, 
            0.986282, 
            0.986301, 
            0.985886, 
            0.985956, 
            0.98603, 
            0.98616, 
            0.986249, 
            0.986343, 
            0.986417, 
            0.986526, 
            0.986628, 
            0.986681, 
            0.986769, 
            0.987032, 
            0.987105, 
            0.987216, 
            0.98731, 
            0.987375, 
            0.987403, 
            0.987484, 
            0.987549, 
            0.987597, 
            0.987663, 
            0.98776, 
            0.987789, 
            0.987956, 
            0.988041, 
            0.988165, 
            0.988175, 
            0.988238, 
            0.988382, 
            0.988462, 
            0.988526, 
            0.988556, 
            0.988624, 
            0.988714, 
            0.988754, 
            0.988791, 
            0.988818, 
            0.988817, 
            0.988845, 
            0.988856, 
            0.988854, 
            0.988911, 
            0.98897, 
            0.988984, 
            0.988974, 
            0.989006, 
            0.989003, 
            0.989093, 
            0.989095, 
            0.989164, 
            0.989179, 
            0.98922, 
            0.989242, 
            0.989234, 
            0.989248, 
            0.989246, 
            0.98925, 
            0.989322, 
            0.989329, 
            0.98937, 
            0.989399, 
            0.989431, 
            0.989478, 
            0.98947, 
            0.989482, 
            0.989509, 
            0.989567, 
            0.98959, 
            0.989606, 
            0.989613, 
            0.989653, 
            0.989657, 
            0.989707, 
            0.989727, 
            0.989725, 
            0.989745, 
            0.989762, 
            0.989792, 
            0.989824, 
            0.989854, 
            0.989862, 
            0.989881, 
            0.989933, 
            0.989933, 
            0.989936, 
            0.98995, 
            0.989985, 
            0.989996, 
            0.990003, 
            0.989995, 
            0.989979, 
            0.990008, 
            0.990017, 
            0.990008, 
            0.990002, 
            0.990013, 
            0.989993, 
            0.989986, 
            0.989999, 
            0.990033, 
            0.99004, 
            0.990058, 
            0.990121, 
            0.990137, 
            0.99014, 
            0.990145, 
            0.990147, 
            0.990153, 
            0.990197, 
            0.990177, 
            0.990188, 
            0.990179, 
            0.990171, 
            0.990166, 
            0.990163, 
            0.99017, 
            0.990159, 
            0.990163, 
            0.990157
        ]
    }, 
    "train": {
        "auc": [
            0.987457, 
            0.988255, 
            0.989167, 
            0.989604, 
            0.989903, 
            0.990222, 
            0.990457, 
            0.990668, 
            0.990856, 
            0.991019, 
            0.991206, 
            0.991327, 
            0.991545, 
            0.991655, 
            0.991752, 
            0.99194, 
            0.992049, 
            0.991828, 
            0.991906, 
            0.99201, 
            0.99219, 
            0.992328, 
            0.992484, 
            0.992629, 
            0.992754, 
            0.992854, 
            0.993066, 
            0.993143, 
            0.993279, 
            0.993384, 
            0.993471, 
            0.993561, 
            0.993663, 
            0.993749, 
            0.993846, 
            0.993923, 
            0.994021, 
            0.994117, 
            0.99421, 
            0.994308, 
            0.994556, 
            0.994627, 
            0.994689, 
            0.994756, 
            0.994808, 
            0.994862, 
            0.994988, 
            0.995068, 
            0.995128, 
            0.995166, 
            0.995262, 
            0.995376, 
            0.995473, 
            0.99556, 
            0.995639, 
            0.995672, 
            0.995719, 
            0.995756, 
            0.995799, 
            0.995845, 
            0.995894, 
            0.995919, 
            0.995967, 
            0.996022, 
            0.996092, 
            0.996168, 
            0.996233, 
            0.99626, 
            0.996298, 
            0.996395, 
            0.996434, 
            0.996474, 
            0.996524, 
            0.996596, 
            0.996633, 
            0.99669, 
            0.996726, 
            0.996797, 
            0.996829, 
            0.996881, 
            0.996994, 
            0.997018, 
            0.997048, 
            0.997096, 
            0.997133, 
            0.997187, 
            0.997219, 
            0.997271, 
            0.997318, 
            0.997349, 
            0.997383, 
            0.997382, 
            0.9974, 
            0.997424, 
            0.997436, 
            0.99746, 
            0.997478, 
            0.997509, 
            0.997523, 
            0.99757, 
            0.997584, 
            0.997622, 
            0.997648, 
            0.997696, 
            0.997737, 
            0.997772, 
            0.997779, 
            0.997793, 
            0.997845, 
            0.997879, 
            0.997911, 
            0.997919, 
            0.997967, 
            0.997978, 
            0.997998, 
            0.998039, 
            0.998071, 
            0.998102, 
            0.998134, 
            0.998195, 
            0.998207, 
            0.998215, 
            0.99822, 
            0.99825, 
            0.998292, 
            0.998329, 
            0.998339, 
            0.998377, 
            0.998409, 
            0.998415, 
            0.998439, 
            0.998441, 
            0.998491, 
            0.998516, 
            0.998546, 
            0.998583
        ]
    }
}



Chunk 7 processed!


Total data:
Total Events	=	2000000 (B/S= 1672174 / 327826 = 5.10)
BackgroundSumW/SignalSumW 	=	119206624.000000 / 956016.625000	=	124.690956
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	119255736.000000 / 956016.625000	=	124.742325

Training data:
Total Events	=	819998 (B/S= 685754 / 134244 = 5.11)
BackgroundSumW/SignalSumW 	=	49347988.000000 / 391500.468750	=	126.048347
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	49385164.000000 / 391500.468750	=	126.143311

Validation data:
Total Events	=	579714 (B/S= 484562 / 95152 = 5.09)
BackgroundSumW/SignalSumW 	=	34157648.000000 / 276110.468750	=	123.710083
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	34164028.000000 / 276110.468750	=	123.733185

Test data:
Total Events	=	600288 (B/S= 501858 / 98430 = 5.10)
BackgroundSumW/SignalSumW 	=	35700956.000000 / 288405.781250	=	123.787239
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	35706536.000000 / 288405.781250	=	123.806587


[0]	train-auc:0.956562	test-auc:0.95765	validation-auc:0.955506
Multiple eval metrics have been passed: 'validation-auc' will be used for early stopping.

